dt,ts,lat,lng,thoroughfare,place_name
2017-06-06,1496711726888,-8.048321,-34.906209,"Rua José Osório, 100",Centro Automotivo Porto Seguro
2017-06-22,1498175830298,-8.085325,-34.892589,"Av República do Líbano, 282",Recife Motor
2017-06-15,1497533913663,-8.123813,-34.905376,Rua Tenente Domingos de Brito,Vivicav Peças e Serviços Pará
2017-06-28,1498683283712,-8.086668,-34.908026,Rua Álvaro Amorim,Sport Car
2017-06-26,1498510237777,-8.026235,-34.894539,Rua Raul Pompéia,Pinheiro Auto Servic
2017-06-28,1498681124377,-8.044143,-34.933261,"Avenida caxangá, 2983 A",Autoglass
2017-06-08,1496938375064,-8.122803,-34.904989,"Rua Ribeiro de Brito, 573 em Boa Viagem",COFAP-Companhia Fabricadora Peças
2017-06-12,1497300641477,-8.061894,-34.919821,"Avenida Engenheiro  Abdias de Carvalho, 2870 em Cordeiro",L & L Parabrisas
2017-06-13,1497393216357,-8.081751,-34.923199,Rua São Miguel,Palacio das Baterias
2017-06-28,1498681946327,-8.031926,-34.914619,Estrada do Encanamento,Auto Escola Piloto (imbiribeira)
2017-06-09,1497039989193,-8.072519,-34.908953,Rua Cosme Viana,Pedragon
2017-06-08,1496884167704,-8.027687,-34.907628,Rua Professor Souto Maior,Marcio José
2017-06-12,1497304386926,-8.126239,-34.91368,Rua Maria Vicentina da Silva,Mafral Baterias
2017-06-30,1498836902483,-8.068101,-34.881739,Rua da Palma,Tio Tonho Serviços e Auto Peças
2017-06-19,1497906035845,-8.028462,-34.929061,Rua Ilha do Temporal,Ng Car 
2017-06-14,1496681682471,-8.048318,-34.87871,"Rua Vinte e Quatro de Agosto, S/N",Moto Pecas Norte
2017-06-12,1497221669287,-8.044947,-34.880176,"Avenida Norte Miguel Arraes de Alencar, 866 em Santo Amaro",Adelmo Auto Serviços
2017-06-15,1497561236423,-8.111655,-34.920047,Rua Jean Emile Favre,Esquina Reta Equipadora
2017-06-12,1497277215008,-8.094398,-34.909373,Avenida Marechal Mascarenhas de Morais,Palácio das Baterias
2017-06-09,1497028496064,-8.09274,-34.908694,Avenida Marechal Mascarenhas de Morais,Meira Lins - Concessionária Volkswagen
2017-06-05,1496690150029,-8.107952,-34.91534,"Rua Itacari, 425 em Imbiribeira",Ipsep Pecas Usadas
2017-06-16,1497611446415,-8.088556,-34.907919,Avenida Marechal Mascarenhas de Morais,Auto Escola Piloto (imbiribeira)
2017-06-13,1497272553802,-8.044114,-34.879831,Travessa do Oliveira,Via Norte Auto Peças
2017-06-15,1497555533985,-8.090305,-34.90794,Rua Doutor Valdir Pessoa,GranVia Ford
